ResponseID,Funnel,Citizen,PrefSchool,Q1a,Q1b,Q2a,Q2b,Q2c,Q3,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30,Q20,Q22,Q25A,Q25B,Q26a,Q26b,FunnelPerformance,CONSIDERATION,FAVORITE,Female,Age,Work_exp
R_0ktfzWVQmIaEPcN,1,14,EBS,2,,1,1,1,Harvard University,ESCP-EAP,Frankfurt School of Finance and Management,EBS,2,2,2,2,2,0,0,2,3,1,1,0,1,3,1,0,1,0,4,4,4,4,5,5,4,3,1,4,5,1,5,1,4,1,1,4,5,5,4,1,4,5,5,4,4,,,4,4,,,,,4,,,,,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,4,4,5,5,1,2,,,,2,3,1.00,0.00,1,36,4
R_0ktfzWVQmIaEPcN,1,14,EBS,2,,1,1,1,Harvard University,ESCP-EAP,Frankfurt School of Finance and Management,EBS,2,2,2,2,2,0,0,2,3,1,1,0,1,3,1,0,1,0,4,4,4,4,5,5,4,3,1,4,5,1,5,1,4,1,1,4,5,5,4,1,4,5,5,4,4,,,4,4,,,,,4,,,,,4,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5,1,2,,,,2,2,1.00,0.00,1,36,4
R_0lBrGDfTbFIzNnD,2,14,NYU,1,650,1,2,2,Harward,Ivey,Queens,Longdon,2,2,2,0,2,2,0,2,2,0,2,3,3,2,3,1,2,0,5,5,5,5,3,5,5,1,1,4,5,2,5,1,3,5,1,1,5,5,5,5,5,5,5,,5,5,,5,5,,5,5,5,5,5,,5,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,,,,,,2,1.00,0.00,1,41,6
R_0lBrGDfTbFIzNnD,2,14,NYU,1,650,1,2,2,Harward,Ivey,Queens,Longdon,2,2,2,0,2,2,0,2,2,0,2,3,3,2,3,1,2,0,5,5,5,5,3,5,5,1,1,4,5,2,5,1,3,5,1,1,5,5,5,5,5,5,5,,5,5,,5,5,,5,5,5,5,5,,5,,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,,,,,,2,1.00,0.00,1,41,6
R_0MPO0D1FVK9kJ6J,1,14,Harvard Business School,2,,1,1,4,Harvard University,Waseda University,,,5,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,4,4,3,5,5,4,3,3,3,4,3,3,4,3,5,1,4,1,1,1,3,4,3,4,5,5,,,,,,5,,,,,4,,,,4,4,1,3,4,4,4,4,5,4,4,5,4,5,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,5,1,,,,,,5,1.00,1.00,0,33,4
R_0MPO0D1FVK9kJ6J,1,14,Harvard Business School,2,,1,1,4,Harvard University,Waseda University,,,5,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,4,4,3,5,5,4,3,3,3,4,3,3,4,3,5,1,4,1,1,1,3,4,3,4,5,5,,,,,,5,,,,,4,,,,4,4,6,3,4,4,4,4,5,4,4,5,4,4,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,3,1,,,,,,2,1.00,0.00,0,33,4
R_0SPxHAcwwVjxDrn,1,14,Columbia Business School,1,700,1,1,3,Standford,HBS,Columbia,Wharton,4,4,4,1,5,2,0,4,1,0,3,2,2,2,2,0,2,4,4,5,5,5,5,3,5,3,3,5,5,1,5,1,3,3,1,1,4,4,4,4,5,5,5,,5,5,,5,,,5,2,4,4,4,,4,5,1,3,5,5,5,5,4,2,2,4,3,5,3,4,3,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,3,,,,,,4,1.00,1.00,1,31,1
R_0SPxHAcwwVjxDrn,1,14,Columbia Business School,1,700,1,1,3,Standford,HBS,Columbia,Wharton,4,4,4,1,5,2,0,4,1,0,3,2,2,2,2,0,2,4,4,5,5,5,5,3,5,3,3,5,5,1,5,1,3,3,1,1,4,4,4,4,5,5,5,,5,5,,5,,,5,2,4,4,4,,4,5,7,3,5,5,5,5,4,2,2,4,3,5,3,4,3,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,3,,,,,,4,1.00,1.00,1,31,1
R_0V7B2DQ95wl9qW9,1,14,Harvard Business School,1,550,1,1,1,Harvard,MIT,Stanford,Pennsylvania,5,1,4,1,4,1,1,4,1,1,4,1,4,4,3,1,2,2,4,4,4,5,4,5,4,3,2,5,4,3,5,5,5,3,3,4,4,4,4,5,4,,5,,4,,,5,,,5,,5,5,4,,2,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,3,,,,,,5,1.00,1.00,0,32,3
R_0V7B2DQ95wl9qW9,1,14,Harvard Business School,1,550,1,1,1,Harvard,MIT,Stanford,Pennsylvania,5,1,4,1,4,1,1,4,1,1,4,1,4,4,3,1,2,2,4,4,4,5,4,5,4,3,2,5,4,3,5,5,5,3,3,4,4,4,4,5,4,,5,,4,,,5,,,5,,5,5,4,,2,2,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,3,,,,,,4,1.00,1.00,0,32,3
R_0vawxomTnDGoaR7,1,14,MIT – Sloan School of Management,2,,1,1,5,Massachusetts Institute of Technology,Harvard business school,Wharton business school,,4,3,4,0,3,2,0,4,0,0,5,1,3,0,3,0,2,4,3,4,4,4,4,3,4,4,3,5,4,4,5,1,2,3,2,2,3,5,4,2,5,4,5,,4,4,,5,,,5,,4,,4,,3,3,1,3,5,5,5,4,5,3,1,3,3,5,3,5,3,4,5,3,5,3,5,5,3,5,5,5,5,3,3,3,5,2,,,,,,4,1.00,1.00,0,31,1
R_0vawxomTnDGoaR7,1,14,MIT – Sloan School of Management,2,,1,1,5,Massachusetts Institute of Technology,Harvard business school,Wharton business school,,4,3,4,0,3,2,0,4,0,0,5,1,3,0,3,0,2,4,3,4,4,4,4,3,4,4,3,5,4,4,5,1,2,3,2,2,3,5,4,2,5,4,5,,4,4,,5,,,5,,4,,4,,3,3,7,3,5,5,4,4,5,3,1,3,3,4,3,4,3,4,4,3,4,3,4,5,3,4,5,5,5,3,3,3,5,2,,,,,,4,1.00,1.00,0,31,1
R_0VNnLVFhcrzPW6N,1,14,NYU,2,,1,1,2,harvard,booth,slogan,columbia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,,2,,2,2,1.00,0.00,1,34,4
R_0VNnLVFhcrzPW6N,1,14,NYU,2,,1,1,2,harvard,booth,slogan,columbia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,,2,,2,2,1.00,0.00,1,34,4
R_0xh2CrHlXqQzq2V,3,14,"Esslingen Hochschule, BW, Germany",1,550,1,3,,CIBS,Mannheim,Havard,MIT,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,3,4,4,4,3,3,4,4,3,4,3,3,4,1,3,3,1,3,3,4,2,3,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,,,,,,1,0.00,0.00,0,37,4
R_0xh2CrHlXqQzq2V,3,14,"Esslingen Hochschule, BW, Germany",1,550,1,3,,CIBS,Mannheim,Havard,MIT,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,3,4,4,4,3,3,4,4,3,4,3,3,4,1,3,3,1,3,3,4,2,3,,,,,,,,,,,,,,,,,,,8,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,1,0.00,0.00,0,37,4
R_1B4DwB0MW3bvSzr,1,14,NYU – Stern School of Business,1,600,1,1,4,Wharton,MIT Sloan,stern,booth,4,3,4,3,4,2,2,4,4,4,4,3,5,4,4,3,3,4,5,3,3,5,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,3,3,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4,2,3,2,3,3,4,5,4,4,4,3,3,2,3,2,3,3,3,2,4,3,3,4,3,4,4,4,2,3,3,3,1,1,3,,4,,4,1.00,1.00,0,33,2
R_1B4DwB0MW3bvSzr,1,14,NYU – Stern School of Business,1,600,1,1,4,Wharton,MIT Sloan,stern,booth,4,3,4,3,4,2,2,4,4,4,4,3,5,4,4,3,3,4,5,3,3,5,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,3,3,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4,4,4,3,3,4,5,5,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,3,5,3,4,3,4,1,1,3,,4,,3,1.00,0.00,0,33,2
R_1HenqSB7tEWTvxz,1,14,CEIBS,1,650,1,1,2,LBS,CEIBS,HKUST,LSE,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,4,3,4,4,4,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,5,5,4,4,5,4,3,4,3,3,3,3,2,3,2,2,5,5,4,4,4,4,3,3,5,4,2,1,3,,3,,3,1.00,0.00,0,35,4
R_1HenqSB7tEWTvxz,1,14,CEIBS,1,650,1,1,2,LBS,CEIBS,HKUST,LSE,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,4,3,4,4,4,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,3,4,3,4,4,3,4,4,5,2,4,4,2,3,4,4,3,4,5,4,3,3,5,3,4,5,4,5,2,1,3,,3,,3,1.00,0.00,0,35,4
R_1M7jkKpF8aY2Y1D,1,14,Hong Kong University of Science and Technology,1,450,1,1,4,Hong Kong University of Science and Technology,Melbourne University,Oxford University,Tokyo University,4,3,1,1,1,2,0,4,0,1,4,0,0,0,2,0,0,2,3,5,4,4,5,4,4,4,2,4,3,5,5,1,1,4,1,2,5,5,4,5,5,5,,,,4,,5,,,4,,,,3,,,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,4,5,3,3,3,4,3,,,,,,4,1.00,1.00,0,36,4
R_1M7jkKpF8aY2Y1D,1,14,Hong Kong University of Science and Technology,1,450,1,1,4,Hong Kong University of Science and Technology,Melbourne University,Oxford University,Tokyo University,4,3,1,1,1,2,0,4,0,1,4,0,0,0,2,0,0,2,3,5,4,4,5,4,4,4,2,4,3,5,5,1,1,4,1,2,5,5,4,5,5,5,,,,4,,5,,,4,,,,3,,,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,,,,,,2,1.00,0.00,0,36,4
R_1SVWbJRCdWoolWB,3,14,Cal state East Bay,1,500,1,3,,Harvard,UC berkeley,University of Melbourne,Booth business school,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,2,3,5,3,5,4,3,2,2,2,3,4,3,4,5,5,5,4,4,4,,5,4,4,5,4,4,4,5,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,3,4,4,4,4,4,4,3,5,3,1,,1,,1,2,1.00,0.00,1,37,4
